Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/18/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517698324,,,,,,,
Afghanistan,AFG,Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3094524974,4762945039,3357630746,2771568097,3256256093,3200864538,3273779885,2565935255,1597480951,1171302409,1244791848,1486864693,1358258790,1391158727,1386589199,
Angola,AGO,Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6888623393,12451392673,31129455737,30528251883,34660931363,44417275881,50748811324,59630289021,65655734195,63922423684,51451738031,48671369213,50539500212,50571676139,49501994133,52829186136,53862502641,54203617748
Albania,ALB,Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388400290.4,288652352.5,357354093.4,618420587.4,764547841.9,774083858.8,976392272.6,1166778408,1360802037,1606751590,1849584726,2133010293,2673602270,2799694394,3337098456,3559859944,3570398767,3604602473,3668766007,3704329248,4124422274,4492173141
Andorra,AND,Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57921E+11,6.42327E+11,7.33213E+11,8.09967E+11,8.8437E+11,9.4272E+11,9.92885E+11,1.0418E+12,9.72201E+11,1.02975E+12,1.11106E+12,1.22695E+12,1.24077E+12,1.21753E+12,1.22785E+12,1.27508E+12,
United Arab Emirates,ARE,Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97554285065,1.00628E+11,1.23682E+11,1.54039E+11,1.71726E+11,1.91528E+11,2.08444E+11,2.34364E+11,2.24288E+11,2.25275E+11,2.76618E+11,3.24899E+11,3.44697E+11,3.50909E+11,3.69124E+11,3.81693E+11,3.83447E+11
Argentina,ARG,Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD,5743773673,5132717042,7454679354,7454679354,6843644534,7454679354,8676757096,8676757096,8065726326,9776634032,9893963820,8911399793,9092264323,10363234674,10387664802,9422218768,12391881319,15777067196,17182373157,16632451280,15777067196,16598091023,17253143384,17698724074,17240062034,19921585394,17875570605,17253143384,20482856880,22004799453,25968216627,25027090969,24769388405,25756002357,29695529464,36385381307,39167696786,43937319884,48604954076,47992396563,49289338917,50640355142,52206638633,55336618845,59826719524,67536487416,71292328739,77112956640,77683495718,70422336694,80208867996,83536585369,80104642371,77284766434,71890933183,69894253858,73593525608,73903176251
Armenia,ARM,Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4750389662,5629211402,2319235218,1159617609,1343996822,647806431.2,694448524.4,649309359.9,638920410.1,726452505.9,863752029.8,1096874381,1489742459,1922795898,1889530884,2190702478,2029926571,1958710864,1702513127,1524842786,1928926124,2212478264,2398326439,2604580869,2771277443,2907066956,3462316744,4144393143
American Samoa,ASM,Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679031390.1,665156950.7,556609865.5,585174887.9,546000000,553345291.5,550896861,432556053.8,364000000,321560538.1,336251121.1,334618834.1,349309417,375426009,371345291.5,
