Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018/10/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.39827699,85.70713827,83.05955067,86.44333894,92.90540541,91.95850281,100.3660307,105.1496973,105.7981694,102.4649612,111.6434905,116.3478081,118.0824314,132.7984414,151.7563571,143.9681365,,,,,,,,
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0002672,111.7159709,124.2758952,137.8223008,147.7058974,180.7654546,184.7045206,180.8126438,197.8773701,218.7754748,236.9442548,246.1327302,247.5990867,253.6207394,266.6146807,279.6079789
Angola,AGO,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,5.24E-08,5.13E-08,5.13E-08,5.13E-08,5.13E-08,6.11E-08,5.56E-08,6.11E-08,6.24E-08,7.26E-08,8.27E-08,1.71E-07,9.84E-07,1.00E-05,0.00022799,0.004389939,0.215130335,0.420478742,0.585976435,3.852801583,19.95824391,41.18426051,99.99999926,186.1128612,261.68572,324.598942,372.3146245,417.2572336,499.3801763,462.3319764,565.9976344,702.618772,742.8877268,770.7685473,760.6580805,730.3770545,932.5077217,1222.856846
Albania,ALB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,4.881449515,4.775162761,4.77431783,4.773518261,4.772164776,4.788924501,4.675043823,4.675045161,4.675045225,4.675045137,4.653132855,6.447769054,22.54678047,48.43852184,67.04690407,70.78363418,100,112.0887059,121.5404379,123.4040548,128.3171257,132.5886117,135.7847792,143.0896261,146.462369,150.3011735,154.3533672,159.8733443,172.0721996,176.2364285,184.1493088,188.4032326,190.362613,190.9146146,193.8737866,194.9672204,194.0286426,196.6963254
Andorra,AND,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,5.540818243,5.975543694,6.48454515,7.252927038,8.409420854,9.820672657,11.44008756,14.11513382,17.02723292,19.91023106,22.56920535,25.35676699,28.80081179,32.22356802,35.72457309,38.79526583,43.01573112,45.5726717,48.27792245,51.60726799,55.38814219,59.2293924,63.20414139,66.07185975,68.63535065,72.02121729,72.59535336,74.21289411,75.32575868,77.38364156,100,102.7695181,106.2641009,109.3243619,112.9871309,116.4892765,120.217507,124.8696969,127.3422082,127.3421906,129.3795928,132.6139114,134.0725499,134.0730334,133.9384682,133.3284247,134.2615868,135.4698473
Arab World,ARB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,27.95144203,31.24253743,32.884569,31.68062826,33.91443587,37.14172546,39.76188253,40.28390385,38.82642528,36.45899673,36.7289876,36.10515114,37.43583711,38.32720151,38.99841682,40.2993652,40.62613209,41.36017566,41.88877372,41.77882619,43.41132537,45.91748024,45.48020775,43.54527718,47.2219693,52.63338777,51.39686756,53.33496097,55.50697754,60.22585997,70.17879576,78.57388365,88.42230333,104.809921,88.89665179,100,113.1653894,115.6976167,114.6943448,113.5312274,95.99587479,92.92665002,98.79040367
Argentina,ARG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.19E-11,8.65E-11,1.11E-10,1.40E-10,1.80E-10,2.19E-10,2.74E-10,3.54E-10,3.91E-10,4.21E-10,4.48E-10,5.88E-10,9.66E-10,1.60E-09,2.09E-09,6.22E-09,3.35E-08,8.69E-08,2.27E-07,5.62E-07,1.07E-06,2.21E-06,6.81E-06,3.28E-05,0.000231992,0.001683801,0.002937584,0.006670854,0.032586543,1.028962085,22.39837951,52.17774813,58.39773237,57.54123623,59.18078152,61.05392628,61.02194898,60.73886015,59.70309274,58.60661058,59.21452939,58.5656757,76.46053741,84.48560835,99.9999999,110.3175111,125.4762982,144.2223631,177.6403647,204.9572772,247.8243464,306.5673214,374.9774534,464.7800478,652.0072626,825.3107382,1156.051463,1449.100983
Armenia,ARM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004253696,0.007630539,0.051033603,0.760996017,32.01736084,83.61779389,100,117.7359945,130.3319772,130.4021011,128.6107988,133.8441522,137.0159746,143.265408,152.3047858,157.2392114,164.5034392,171.4664921,181.7365845,186.383471,200.8630725,209.4631254,220.6606144,228.0898704,233.3568816,236.1896239,236.8239703,242.108853
American Samoa,ASM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7421981,70.92866756,68.54082999,67.60752688,69.56521739,71.52682256,79.51977401,100,84.5814978,84.04099561,98.62174579,100.9448819,100.3120125,101.540832,104.1139241,
