Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/18/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005027933,1141899441,1224022346,1321229050,1392737430,1458212291,1324284916,1316033520,1347128492,1432167598,1527994413,1816625698,1888111732,2005849162,2091921788,1906100559,1846245810,2233916201,,,,,,
Afghanistan,AFG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,37777780,44444446.67,51111111.11,126666717.8,144444451.1,215555548.9,259999993.3,237777784.4,208888900,211111117.8,208888900,295555548.9,288888877.8,255555562.2,320000000,337777777.8,380000006.7,437777795.6,457777788.9,,,,,,,,,,,,,,,,,,,,,,,,2695612253,4324401128,4605719092,4861120343,5228625785,5743886682,5612184212,5269393819,7162552543,7924080689,8038495178,10083041878,9436790253,9377504680,9544683716,
Angola,AGO,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,3342245989,3342245989,3342245989,3342245989,3342245989,3342245989,3029652726,4153905487,2923603207,3078876577,,,,,,5738980004,6697298360,7082117702,8801254050,10634511751,15144224757,16288813596,26304726743,43121503224,41829336856,35421230674,43898310317,45836081200,49190381513,53537929898,37845115013,28045505039,34344926764
Albania,ALB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,372867136.2,362610725.8,336224987.5,335624987.5,408575012.5,483800000,487500000,314316659.7,627952433.9,764996711.8,773426393.9,836744255.2,1061577473,806850764.8,937667487.4,1099997513,1382114188,1583646805,1966308372,2590993958,3245963304,3872963233,4363324819,5862891873,6717536051,6004542100,5792205618,6700292383,5860852654,5999411368,6243050763,5071014157,5436290838,6070283972
Andorra,AND,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72547E+11,1.91608E+11,2.02354E+11,2.04938E+11,2.04578E+11,1.97413E+11,2.1648E+11,2.19952E+11,2.34583E+11,2.70025E+11,3.46396E+11,4.24385E+11,5.0339E+11,6.57063E+11,8.49222E+11,7.60918E+11,8.06594E+11,9.10963E+11,1.02472E+12,1.10386E+12,1.16285E+12,1.08191E+12,1.01086E+12,1.03675E+12
United Arab Emirates,ARE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42053369639,47845064670,57668073519,78428046290,93862491491,1.1293E+11,1.66134E+11,2.19714E+11,1.8714E+11,1.84221E+11,2.17471E+11,2.42812E+11,2.53217E+11,2.77903E+11,2.66276E+11,2.70442E+11,2.77086E+11
Argentina,ARG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,2294367227,1441753153,1424602864,1176470539,1428571371,1212121237,1428571475,2000000041,1495789482,2199999959,2374999979,3000000102,4555555490,3135135021,3030000057,4159999873,3319672098,4383512571,4989980080,5800000171,5497685333,6068376037,3762000095,5546666807,7015555449,8417142924,7839772666,5042239481,6546483926,11531201154,18606904906,22049649550,27299750000,26038000000,30148250000,37413750000,38667250000,32762500000,33070250000,27604000000,13065794410,18772867665,27736672324,34392237787,40480743016,52567536062,66316154417,48268743530,67937933972,88839174035,78013690407,81240190817,73691675720,70064879912,75117526487,88215840248
Armenia,ARM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045655213,1243607801,779530102.3,729847869.3,961391389.4,913101534.1,894135848.4,955405597,1000634305,919089981.2,966167152.4,977647641.7,1107060085,1404513019,1620291874,2118458711,2505910484,3604342095,4741291123,3718993414,4196501102,4802696584,5139753188,5360220562,5461874861,4418183192,4510568834,5814385424
American Samoa,ASM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559000000,571000000,567000000,614000000,634000000,621000000,754000000,556000000,537000000,559000000,643000000,641000000,678000000,657000000,615000000,
Antigua and Barbuda,ATG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,34811111.11,43451851.85,69600000,95400000,118955555.6,147796296.3,117211111.1,147492592.6,187200000,293462963,303144444.4,283800000,338911111.1,340559259.3,357870370.4,386455555.6,398500000,421925925.9,438925925.9,467366666.7,478288888.9,489922222.2,529322222.2,498461555.6,486572963,474439629.6,534751185.2,592338407.4,682720518.5,818413185.2,932372148.1,952207888.9,706477111.1,678929888.9,641367703.7,701982925.9,720788037,742592592.6,670414259.3,686701666.7,
Australia,AUS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2611714638,2952178295,2512039422,2974577220,3270243028,3959009968,4124762011,4222197335,4730652929,4882965618,5455258148,5839399709,6220794393,7022421525,11737656595,14315171378,14038825161,16144757972,17265959847,20687265705,23827298050,29570416812,32610614587,27658399626,28996558594,31190457927,32912702854,32314716781,39231664726,50821594333,53061177376,52681108233,53341536568,55746908375,59676236596,73019750520,77631259484,82133354203,81674014787,80794585788,89664636061,83770526994,82018627041,98900407688,1.21992E+11,1.45658E+11,1.61971E+11,1.86384E+11,2.39348E+11,2.11475E+11,2.38851E+11,2.85899E+11,3.35971E+11,3.34975E+11,3.15025E+11,2.90507E+11,2.59951E+11,2.72924E+11
Austria,AUT,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1533588048,1601412625,1721989636,1914159092,2162849119,2445451299,2745531719,2849036542,3073420375,3514855809,4222754803,4883423780,6036690755,8127808138,10716324867,11418675911,13387941781,16661465074,18958761300,23982629748,28828883216,25143196302,23075814391,23074388080,22995355271,24397666667,31708292654,39047893230,44657529700,47283383151,59578835532,61623796700,67252988605,60542945345,68853040598,83696833629,85017442163,80519032585,84196220542,84492009376,82683895338,84695659955,88826566911,1.09433E+11,1.32173E+11,1.43497E+11,1.58748E+11,1.87242E+11,2.1009E+11,1.67491E+11,1.87159E+11,2.20536E+11,2.09538E+11,2.17723E+11,2.21515E+11,1.87994E+11,1.91121E+11,2.11511E+11
Azerbaijan,AZE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3474320239,3622902230,2725096547,3019037459,1015000340,1267080012,1764609974,2101202008,2424675962,1918507949,2023530036,2130003114,3120948982,4769463755,6312082121,7006588428,8132889635,9423875539,11464094450,10235008709,10940949296,15881853869,17622072301,19765583174,19718220069,18473453055,16529046813,17104055310
Burundi,BDI,Imports of goods and services (current US$),NE.IMP.GNFS.CD,26250000,29750000,35000000,33250000,31500002,19928888.89,21494857.14,21192000,24488000,23004571.43,28208000,35832000,37205714.29,40576812.54,53633015.87,79994920.63,74673623.19,94676666.67,123426666.7,177800000,214223333.3,213555555.6,272632222.2,268000000,232495196.7,239045071.7,268172621.5,291223994,280918091.1,255573911.4,314442790,332769070,319246482.3,254942339.4,263464979,272899694.1,136902390.4,140485312.9,173751546,129001348.6,141321270.5,138400674.4,140218224.2,164737396.3,225367196.2,373658949.2,596736450.4,464102100.3,611231022.5,750254922.2,794106317.3,887268012.1,926374220,929592021.3,1037572768,912048932.9,959704090.5,
Belgium,BEL,Imports of goods and services (current US$),NE.IMP.GNFS.CD,4488686803,4935914686,5383141329,6084755798,6835605753,7297193143,8275773595,8450148125,9492309939,11307889126,11434570391,12483572404,15300704885,22038930760,29379825911,29985935615,34356762800,39946326168,47180976047,60140962851,67211980411,58876182855,55151809465,52365700276,53248465861,53044189075,66132838902,80834902323,92632280417,1.00889E+11,1.23029E+11,1.22985E+11,1.32228E+11,1.19015E+11,1.34356E+11,1.62226E+11,1.62111E+11,1.54086E+11,1.56588E+11,1.56378E+11,1.64681E+11,1.60957E+11,1.67768E+11,2.02229E+11,2.43552E+11,2.70594E+11,2.94995E+11,3.47604E+11,4.10814E+11,3.24878E+11,3.60977E+11,4.27499E+11,4.06717E+11,4.19284E+11,4.35434E+11,3.61461E+11,3.8155E+11,4.15574E+11
Benin,BEN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,27392931.59,22470098.07,23547272.22,29521371.22,33034384.35,43212954.82,49061969.22,60547029.3,62251308.85,70874399.43,81609765.59,93259568.23,109969562.5,130886423.4,163593479.1,226162498.4,216705681.7,260873171.5,320872304.7,439164032.2,524469482.1,567561768.1,508205482.7,345886049.7,325135991.3,383239061.8,435776317.7,483576008.7,519825023.3,372643203,520152807.1,602729559.6,567957714.4,748725692.9,576481292.4,790421189,708783113.7,715320118.4,797921925,1102324171,895394973.1,989716092.7,955970273.2,1161389628,1245729576,1291452507,1456520213,2102378049,2399703621,2294433362,2593296277,2671944435,2859593546,3782284835,4315200793,3299689999,3652889911,4493421578
Burkina Faso,BFA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1.02668E+12,55303956.09,59614687.01,61742281.23,47262666.46,48113645.22,50541606.43,62777892.68,70389699.5,79074242.05,73994573.51,96149821.83,123177211.9,154655047.3,183824303.3,283412263.6,263748343.6,344381930.8,409486806.9,511997958.8,602966359.7,558238164.6,554828007.5,473268805.4,419829355.8,481677884.2,589940838.7,665476559.1,709757519.1,618479382.7,758453092.9,731992034.9,437468498.2,482110691.9,474345862.2,633116355.2,714319767.8,651175221.5,789066274.1,723529014.5,656698457.2,650493800.8,695492405.8,926190162,1248353161,1408926910,1476327435,1684344020,2204833709,2320061450,2661670136,3555059370,4149368368,4910511295,4324049634,3780895918,3832163310,4426391709
Bangladesh,BGD,Imports of goods and services (current US$),NE.IMP.GNFS.CD,397875421.7,563656831.8,549204082.3,620050850.4,760610844.8,789516322.8,814737821.8,913639901.2,868581340.5,988170710.7,1124763247,938861337.7,863537083.3,958701323.7,1294857683,1575422623,1784273650,1194951862,2056130688,2459010309,3243617765,2858506732,2877295409,2590824916,2538320000,2860038462,2577133333,2842322581,3255865305,3679750954,4126170021,3785238095,3915198939,4677910053,4681795511,6580597015,7601784841,7625081967,8058876652,8525935940,9060862652,10102557450,9060891520,9761830743,10229675556,13891430894,15626727219,18268578048,22873050576,23726338035,25106319011,35373857177,37272043677,40135237754,44128009984,48280651359,47171578943,50613763903
Bulgaria,BGR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,6088384615,6859642857,6424733333,6118555556,6729388889,7411526316,8802352941,11977307692,10352294118,10589277778,7577727273,4290322581,5479381443,4963768116,4429059041,6519449405,4588656549,4174189904,5276354238,6449155466,5500577403,6269113379,6827243139,9430015005,13630160625,17080644178,22027000577,31626174948,39338618008,26258264022,26837706782,33700520441,34484200394,36277928882,37417879528,32107080027,31766289593,36824603861
Bahrain,BHR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,3540992040,4161702128,3892819149,3471808777,3665159574,3280851064,2588829787,2964627660,2869148936,3385638032,4001596011,4414893617,4596276330,4198138298,4119148936,4122340426,4649734043,4413031915,3950532181,4168882979,5132180851,4794680851,5624202128,6205053191,8170478723,10286968085,11559042553,12626329787,16276329787,11353989362,13097074468,21507978723,25750000000,28332446809,26547872340,22301861702,21088031915,
"Bahamas, The",BHS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,471600000,562000000,686200000,839600000,889700000,939900000,1005300000,1190100000,1375500000,1431700000,1514500000,,1750510000,1771670000,1716350000,1592260000,1589080000,1739670000,1883080000,2086690000,2713700000,2943000000,3015600000,3359600000,3196400000,3028700000,3127000000,3421700000,4193800000,5006500000,5088400000,5045700000,4225400000,4414100000,5125700000,4944700000,4842500000,5461800000,4564300000,4460600000,5084900000
Bosnia and Herzegovina,BIH,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085000000,1334000000,2336999934,2672984372,4049326021,4412863889,4157033208,4365003066,4717671800,6961219561,7767381143,8039422649,8107497915,8907162351,11336685141,8584652319,8806994650,10403826143,9621562870,9840728396,10498812915,8628568188,8843255472,9258149706
Belarus,BLR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9450000000,6000000000,9814814815,13570247934,12558744545,7552655203,7441153846,9276190109,9727865938,7481164885,9221273499,8685107914,9832808487,12298586056,17184722222,17848607242,23737156177,30431314073,41721254682,30401933405,36934306814,49102934673,48809523810,46436407658,43907521518,32689583072,29922094893,36449516121
Belize,BLZ,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,133550000,145350000,126500000,122850000,147950000,128200000,132450000,173100000,213650000,251050000,248100000,288400000,274248250,280961550,304594500,304557200,322397200,364499950,392227550,493526400,613000000,602450000,616700000,653017500,618982100,698550150,750575100,790029600,953288000,751680250,802947600,938361000,990310550,1077233000,1125691100,1179641450,1101296550,1118000000
Bermuda,BMU,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771580000,1734013000,1601009000,1586786000,1649401000,,,,
Bolivia,BOL,Imports of goods and services (current US$),NE.IMP.GNFS.CD,108516001.9,108516001.9,133558156.2,150252925.8,150252925.8,185185185.2,210437710.4,227272727.3,244107744.1,252525252.5,247727272.7,267340067.3,302068446.8,357671164.4,562818590.7,774712643.7,816491754.1,956821589.2,1131534233,1211274647,1011201260,1352344539,1644889781,1303554589,1592952109,1228323588,1017851568,1043169574,1063833481,1092054033,1164632090,1440847065,1640403025,1627865935,1626751434,1825637773,2017479801,2326903298,2768710913,2260778164,2294564082,2056200185,2191068898,2131085361,2309688004,3064661856,3752334864,4495795420,6329651161,5705628917,6744572947,9199095430,10233217800,11386396527,13848956006,12231374674,10831641389,11927938929
Brazil,BRA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1079376915,1118302726,1033970196,2097486801,1204326396,1210637974,1621508461,1764834055,2239326015,2454948720,3153304260,4004245614,5177234172,7532763885,14596797400,14233481673,14401534168,13948797700,15791774011,20642227950,26571483280,25827534749,23307743171,18314364419,16563864377,15818492272,17038985217,18211636976,18807996682,23242900391,32160000000,47710000000,33590625000,39822360248,53957453465,72742324398,75733720724,84721451206,81259829212,68433801841,81611100027,81470191055,68004834965,72356034124,87897949128,1.05595E+11,1.29233E+11,1.6716E+11,2.32728E+11,1.87616E+11,2.60188E+11,3.20106E+11,3.22009E+11,3.44504E+11,3.35819E+11,2.53273E+11,2.16708E+11,2.37456E+11
Barbados,BRB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872719136.9,836821955.9,676900000,779893601.2,821061005.3,998458708.3,1073683687,1230845722,1286033908,1372743996,1448450000,1386450000,1381950000,1512750000,1734650000,2016750000,2131850000,2216150000,2433500000,2045250000,2174250000,2266450000,2210000000,2398150000,2336350000,2006600000,2093050000,2096638446
Brunei Darussalam,BRN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,186302269.3,273689537.4,259834871.3,278757071.4,281002638.5,396394739.3,574911264.7,598759880.7,734579439.3,729768102.2,,,,,,1051120340,1312000000,1487034036,2004297115,2125263028,1978525599,2642867222,3102127660,3040140086,2325525813,2226548673,2149450696,2195267065,2432352284,2358621283,2502655958,2601040675,2892504248,3416827019,3974597798,3841055960,3832783278,5563240321,6758162612,7761349105,5240726125,4226489199,4302837559,4318030689
Bhutan,BTN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,51145038.17,70324480.37,71035940.8,75792079.21,76389964.79,88067906.22,105563838.2,96440586.42,139419540.2,104771411,91892632.78,100325417.8,140203703.7,103725644.5,106766337.3,129190255.9,144504092.6,168768108,186282113.4,212456107.8,212059054.3,227453441.4,264919938.3,316165538.9,436818186.2,527747498.9,531258319.9,685306961.6,729319253.8,786732031.4,1121423791,1282994611,1149629846,1119922591,1115099235,1271196289,1174759842,1205470588
Botswana,BWA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,12056638.16,13991884.71,15982055.24,18034391.16,20214693.99,23174647.49,26220362.62,29776847.98,41701534.17,40662860.33,58626465.66,78159955.26,100052008.8,151275032.4,198233995.6,226572008.1,246722631.1,313004750.6,404552040.6,534969325.2,704902213.1,768136727.6,703068855,733430577.1,719192852.7,571113213.5,684183917.8,952022157.4,1161735754,1422750509,1887395861,1834537000,1723775892,1627109901,1718989794,2070052666,1799831538,2395831051,2517475567,2398365193,2320710338,2133671163,2158048611,2779825087,3706961580,3533676425,3451273001,4440003828,5586576631,5327109335,6554992935,8227896230,8854720374,9163746872,8766069478,7716060973,6575563309,
Central African Republic,CAF,Imports of goods and services (current US$),NE.IMP.GNFS.CD,38336816.27,44034883.78,46936105.26,49792587.35,57952747.69,56720594.76,67160971.42,76828946.56,75999785.11,70699836.82,78597127.89,75389852.43,77877594.76,98946247.28,121947245.3,151160965.1,132307723.1,174129603.7,206899174.8,246199305.6,327433570,236648293.6,256106186.9,241183767.1,226437019,273603657.5,321221786.9,342886690,316906397.3,326536958.4,372791488.3,359806867.5,372229135.9,292701084.1,212952087.8,315152768.2,258135823.4,271328255.3,274652946.2,239761597.8,231254888.7,210345022.8,199723610.8,205101408.2,244440120.2,290317082.7,322489945.8,398343553.1,465218535.9,460467523.9,526488629.4,483637201.3,472607624.6,379716267.5,639651854.2,547649421.5,527084435.9,619421654.1
