"SERIES","Series","TIME","Time period","Value","Flag Codes","Flags"
"AUT-EXP-VAL-TOTAL","EXP-Total","1996","1996",114.97024263696,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1996-Q1","Q1-1996",111.350526476423,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1996-Q2","Q2-1996",117.515641690829,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1996-Q3","Q3-1996",117.039523882191,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1996-Q4","Q4-1996",113.975278498398,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1997","1997",112.031130779796,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1997-Q1","Q1-1997",108.05432626278,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1997-Q2","Q2-1997",114.365939264459,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1997-Q3","Q3-1997",113.767739966428,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1997-Q4","Q4-1997",111.936517625515,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1998","1998",108.417518693728,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1998-Q1","Q1-1998",107.138715092324,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1998-Q2","Q2-1998",110.080878986724,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1998-Q3","Q3-1998",111.240653135968,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1998-Q4","Q4-1998",105.209827559896,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1999","1999",101.35205249504,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1999-Q1","Q1-1999",97.7140241110942,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1999-Q2","Q2-1999",105.160994964139,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1999-Q3","Q3-1999",106.003357240958,,
"AUT-EXP-VAL-TOTAL","EXP-Total","1999-Q4","Q4-1999",96.5298336639707,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2000","2000",100,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2000-Q1","Q1-2000",96.3100869830612,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2000-Q2","Q2-2000",98.1657256218526,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2000-Q3","Q3-2000",106.38180985808,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2000-Q4","Q4-2000",99.142377537006,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2001","2001",98.425,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2001-Q1","Q1-2001",100.39,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2001-Q2","Q2-2001",98.8,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2001-Q3","Q3-2001",96.95,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2001-Q4","Q4-2001",97.56,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2002","2002",96.205,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2002-Q1","Q1-2002",98.92,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2002-Q2","Q2-2002",97.57,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2002-Q3","Q3-2002",94.75,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2002-Q4","Q4-2002",93.58,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2003","2003",93.37,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2003-Q1","Q1-2003",96.86,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2003-Q2","Q2-2003",95,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2003-Q3","Q3-2003",90.11,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2003-Q4","Q4-2003",91.51,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2004","2004",92.7725,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2004-Q1","Q1-2004",93.52,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2004-Q2","Q2-2004",94.61,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2004-Q3","Q3-2004",89.82,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2004-Q4","Q4-2004",93.14,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2005","2005",100,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2005-Q1","Q1-2005",95.14,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2005-Q2","Q2-2005",95.65,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2005-Q3","Q3-2005",93.13,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2005-Q4","Q4-2005",99.58,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2006","2006",103.625,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2006-Q1","Q1-2006",102.68,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2006-Q2","Q2-2006",101.85,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2006-Q3","Q3-2006",103.18,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2006-Q4","Q4-2006",106.79,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2007","2007",105.41,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2007-Q1","Q1-2007",102.81,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2007-Q2","Q2-2007",102.52,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2007-Q3","Q3-2007",105.48,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2007-Q4","Q4-2007",110.83,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2008","2008",110.2775,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2008-Q1","Q1-2008",103.73,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2008-Q2","Q2-2008",109.18,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2008-Q3","Q3-2008",110.91,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2008-Q4","Q4-2008",117.29,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2009","2009",107.985,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2009-Q1","Q1-2009",104.08,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2009-Q2","Q2-2009",106.14,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2009-Q3","Q3-2009",108.62,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2009-Q4","Q4-2009",113.1,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2010","2010",111.56,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2010-Q1","Q1-2010",103.6,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2010-Q2","Q2-2010",107.59,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2010-Q3","Q3-2010",114.16,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2010-Q4","Q4-2010",120.89,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2011","2011",104.7525,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2011-Q1","Q1-2011",104.41,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2011-Q2","Q2-2011",104.54,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2011-Q3","Q3-2011",105.13,,
