Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018/10/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,22.97420585,28.26916722,40.27451187,46.28580459,64.21156858,57.58978387,59.3849823,63.45572706,65.25164386,61.85242744,78.81846044,81.96062542,58.80760655,77.22140532,100,91.87190401,78.13678065,92.86734708,139.0305257,166.0895876,182.9430919,198.5739265,232.845709,94.85176428,54.00779567,229.1928459,79.23611423,53.32612323,52.33064143,48.56091114,46.79904473,
Afghanistan,AFG,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,152.8909091,161.1454545,174.8727273,193.5090909,252.6363636,217.1272727,255.1818182,181.0727273,163.6909091,149.3909091,170.1818182,112,74.72727273,76.18181818,68.18181818,32.91107377,56.21245416,51.36508671,39.29650241,86.08754516,100,144.2304421,208.5218421,178.6722635,185.1354201,210.1155204,233.370128,256.9955166,256.8135277,283.7355514,438.3253281,554.0455959,771.2416744,727.4804064,654.5798268,656.7642887,555.6732908,
Angola,AGO,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,43.67809285,55.22087442,38.90758708,32.35060914,41.32245,46.09295577,35.72944323,42.86875187,45.13885462,44.02025326,51.92284283,44.32293363,65.40626614,48.11959822,47.83994789,48.28947368,67.10526316,85.42763158,68.38815789,102.2697368,100,104.5723684,123.6842105,180.2631579,191.8421053,274.7697368,288.7368421,449.375,690.1973684,745.3914474,548.2523026,665.4078947,780.1611842,866.1508893,940.1404903,680.675561,412.4407895,
Albania,ALB,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.40931759,86.03294635,59.23710168,75.98410399,104.4616992,100,121.6420373,137.8497305,170.8894063,211.6717392,239.9985332,280.3344212,383.8793957,481.3354846,417.1125005,403.9034139,494.6326684,447.5703128,449.4048,479.4435978,396.0616315,428.0380548,
Andorra,AND,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3361167,104.8814977,104.8749014,105.1558549,106.5932452,100,102.9750577,118.5394088,149.5232861,174.0924556,178.0634929,176.6678856,190.3005277,191.7003071,159.1081852,152.2300213,159.8572663,140.097863,146.9617935,153.76582,127.9695336,133.898624,
Arab World,ARB,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,24.65366049,28.01279671,25.02784998,22.40281071,18.76945928,18.6723414,19.44071524,20.22337113,24.34231198,28.5926476,31.98891714,39.26418921,49.73006941,55.75709103,60.0531292,67.91916044,87.30095961,97.42298019,93.08625676,90.60822906,100,106.5256271,121.8332422,148.7446517,205.896509,241.8074287,285.8053949,378.4757283,572.1403444,428.4630886,471.3093975,579.8533799,645.5510535,682.6845212,714.1051477,656.9767359,642.6946329,
Argentina,ARG,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,41.71373871,37.30558061,21.12189681,17.81696492,18.13578899,15.08757773,18.68799544,23.017832,21.04990427,16.63106596,16.12909606,32.11040965,58.82699641,66.38937675,85.40292084,79.99396517,94.46532957,121.055037,124.7410352,101.407955,100,80.78238054,35.73984257,54.99721714,89.2311362,114.0522382,135.7716467,177.7291882,228.439612,154.1933688,225.7792001,295.4571837,270.2321698,295.9441838,259.3216708,237.5634344,221.0745806,
Armenia,ARM,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.41455947,97.04048078,101.179272,102.3245266,90.67921533,100,99.10420683,111.9401293,145.0844767,153.1579544,204.2975394,248.5089012,370.5408777,501.8822996,376.5846468,428.9465926,470.0419549,483.1840345,507.6312507,499.0815285,367.2978796,371.1872094,
American Samoa,ASM,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,18.77470356,46.24505929,39.13043478,44.86166008,56.12648221,58.49802372,61.85770751,68.37944664,66.99604743,74.70355731,71.14624506,73.51778656,82.60869565,92.29249012,98.41897233,82.1541502,93.00395257,104.4664032,98.45849802,89.44664032,100,100.1976285,95.9486166,120.7312253,116.3043478,100.0395257,111.798419,90.9486166,112.2134387,95.256917,71.32411067,68.08300395,78.20217391,73.87924901,69.16996047,56.32411067,55.33596838,
Antigua and Barbuda,ATG,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,21.76616915,27.5761194,34.55124378,27.09228856,32.80920398,41.3800995,51.61517413,61.44651741,62.22960199,47.86890547,63.35820896,73.4181592,77.66442786,80.43955224,84.95024876,84.94127764,89.76609337,93.14398034,94.59459459,101.7199017,100,94.84029484,98.28009828,103.7874693,111.5324324,124.3243243,153.3614251,178.9326781,182.4916462,131.1712531,123.1523342,105.7601966,120.9697789,123.6042743,130.7990826,113.1274176,123.6929421,
Australia,AUS,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.67567983,91.46971775,92.11924724,90.35478067,96.68524662,100,89.31799404,101.6228451,124.5435748,152.9232322,175.1478777,194.6812958,231.146379,279.9897104,231.3351144,281.8994334,340.7038014,364.8046169,338.5214606,331.2418652,291.7486268,274.207416,
Austria,AUT,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.72862567,94.72856242,91.03845837,96.15678986,98.85386033,100,103.3474054,108.4244133,137.8259304,166.0384655,176.3157777,190.0037327,225.7653263,255.1994348,198.1065846,220.1872167,265.0646252,247.1953265,253.7871031,252.1289216,216.0837347,218.2603496,
Azerbaijan,AZE,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.99658703,81.99658703,67.74744027,91.8506157,88.36623916,100,122.0989761,142.1075085,224.0784983,300,371.1482082,449.6022184,515.7866041,646.2457338,555.8020478,575.5972696,867.4463311,888.8627133,880.5966724,796.2458191,833.9273891,768.2744027,
Burundi,BDI,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,113.5759149,109.0082416,143.9249809,122.7822512,126.3919031,125.821282,136.2520198,143.0582318,138.0788187,126.2370782,155.9736054,172.5790858,149.6974491,132.4895713,151.8014455,158.34601,85.90957954,82.08695887,106.5621429,79.84098331,100,94.20657296,87.49028119,105.8786146,119.1435274,182.0294911,291.2216295,215.74414,272.2538858,271.9408555,343.9932661,508.6106998,507.8034467,548.4493844,520.0846466,488.4548182,416.3819061,
Belgium,BEL,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.15451334,94.69563555,91.45280134,95.34422713,93.16200684,100,100.8985527,111.9940357,132.6825269,161.301121,179.9822933,198.5820687,232.4228827,263.3420228,199.5584603,220.9130098,263.7008853,247.9930134,255.0270944,256.8160847,211.7975901,210.4235346,
Benin,BEN,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,54.01956115,88.54257061,75.72652891,51.8022941,46.99095672,54.01792996,63.04652786,56.97869023,53.26497589,33.81540228,43.25163281,39.34902749,94.29966789,93.19486765,70.32062533,121.6427406,106.734584,111.2107667,120.008646,122.2066884,100,101.6313214,118.2357259,145.4804241,145.8034258,166.0685155,200.3262643,332.3001631,373.4704731,336.7433931,335.0536705,347.2727569,381.5269168,491.0474124,623.7041324,377.0146557,367.1661483,
Burkina Faso,BFA,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,58.68625205,55.24664484,56.79934534,47.59394435,41.38379705,54.33600655,66.25548282,71.04320786,74.27577741,64.0314239,87.66432079,87.17135843,76.27495908,83.24091653,57.099018,74.43126023,105.8883797,96.15204583,119.7310966,110.9656301,100,107.3649755,120.9492635,151.391162,207.8559738,206.2193126,245.7780673,274.6502455,330.2358429,306.1016367,335.2235679,393.8454992,512.1276596,714.3745923,586.0552387,489.2411905,518.9498414,
Bangladesh,BGD,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,31.08833577,32.28595489,29.47241122,25.89462579,33.79494062,30.41117618,30.45603307,32.47734428,36.38097015,43.66501115,43.27912229,40.81271113,44.63607307,47.77749069,55.05399573,75.35742429,79.16244512,81.76291793,84.3746482,93.78588315,100,101.5197568,96.7240797,117.4603175,135.4947653,156.3548351,180.5020826,209.3436902,268.6029495,245.784082,313.1959923,407.6764607,384.7022402,417.4839581,462.8906901,473.3457165,504.6954858,
Bulgaria,BGR,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.49655779,77.55654254,75.34064132,75.6369608,83.71696187,100,111.2421991,121.5481875,166.1379577,220.8794285,277.5683709,355.6078271,457.8698496,564.03331,359.7182321,389.894931,497.9192183,499.8842994,524.3093157,529.5378131,446.3225405,440.7045058,
Bahrain,BHR,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,75.17353086,89.01306172,78.00843522,70.40206778,75.10359717,67.05539561,51.91173104,58.57075606,55.97608685,67.6351545,80.11507956,88.82355007,92.01524574,83.27245592,80.89578986,80.19075204,92.19919538,86.88952008,76.96471584,79.80613998,100,92.93712391,108.1964241,122.0998912,159.3822465,202.7321917,226.9504709,247.9474407,323.3158654,217.9900027,264.6096468,274.753736,276.9120529,309.7184691,300.221875,213.673369,187.7735667,
"Bahamas, The",BHS,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,363.8884066,351.2962963,306.1733218,222.620081,197.62201,148.4302662,158.6106289,148.5325039,110.4798418,151.2731481,53.61689815,52.61959877,50.03568673,46.00212191,50.92013889,59.94888117,65.8757716,80.33371914,90.34047068,84.72704475,100,92.20679012,83.33333333,84.97299383,91.86921296,111.4776235,131.5248843,142.5684799,154.2727623,122.265625,124.9324846,143.0217978,163.2667824,152.678723,161.2770544,142.4592496,125.0937018,
Bosnia and Herzegovina,BIH,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.01680155,59.1678563,73.34676342,91.47372808,103.5729422,100,105.4562163,121.7448123,150.9377673,185.9466837,222.2724464,230.9181214,305.5870758,383.1954654,275.8232233,289.9594051,347.4170211,314.9879427,323.9141464,345.449737,282.414906,286.9106571,
Belarus,BLR,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.34734334,80.2583794,100.492702,98.87927645,77.18650968,100,95.834008,105.159492,133.6772224,190.7288751,193.2409613,258.5066272,331.857926,455.4752377,330.4226134,403.4651061,529.2382781,536.702829,497.312114,469.7288982,350.3446601,318.8649349,
Belize,BLZ,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,28.56360841,30.89248998,24.41415563,21.3223317,24.82137612,24.43895126,23.26306634,27.26469904,34.51837356,41.14071327,40.30243035,48.87599516,52.26727397,53.58907161,49.57790214,49.06100869,48.73103611,54.59043347,56.297517,70.55481169,100,98.61030048,100.1361852,105.221959,99.12242555,113.0947613,125.9509123,130.531809,159.6685778,127.5340177,134.5932339,158.5451452,164.246995,176.9690175,191.5168798,195.8513091,184.8495711,
Bermuda,BMU,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,50.02197083,51.82051361,56.36343995,60.65746081,66.49630145,58.68621706,71.82492237,61.31395812,71.24097991,78.1023038,86.86144067,74.45266343,82.04391539,77.95631818,80.29208802,76.49513213,79.13769124,86.09179416,87.48261474,99.02642559,100,100.1390821,103.8942976,115.8553547,137.4130737,136.9958275,152.1557719,162.3087622,161.1961057,147.9833102,135.1877608,125.1738526,125.1738526,140.7510431,134.7705146,129.9026426,135.605007,
Bolivia,BOL,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,36.36661748,50.12297098,30.28365306,31.51882822,26.69836585,37.76028857,36.83663989,41.88118271,32.27305023,33.3879871,37.55806963,52.98682844,59.58900366,65.90697929,66.07640597,77.81603542,89.3589113,101.1586599,108.3784227,95.92282888,100,93.33224026,97.00382576,88.3154069,102.5773078,132.8536919,159.3557414,195.9707056,277.7159097,248.3979887,305.5280647,433.2578565,468.8354375,510.343171,574.8924414,524.7968519,463.4234027,
Brazil,BRA,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,42.57340463,41.06906815,35.93522143,28.65573379,25.9421291,24.444615,26.53397123,28.28050247,27.38335849,33.89959151,38.41754718,39.14242587,39.34488022,47.31325846,61.39586052,92.31658573,97.16557077,109.547569,103.424779,88.27383226,100,99.55425352,84.78817663,86.76385327,113.2840636,132.3730629,163.425427,215.9587983,310.9949662,227.9496003,326.6141684,404.076858,397.9973808,427.2567101,407.8155779,304.9493036,244.6561579,
Barbados,BRB,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,45.37459452,49.78443839,47.89974482,54.01903032,57.29259115,52.83421997,51.08230613,44.80299295,50.33865317,58.57592665,60.89347347,60.45240258,45.34656806,49.91566109,53.13567752,66.65870853,72.11132736,86.11219238,87.3491631,95.84793045,100,94.02707495,89.87500541,103.3692314,122.2222222,138.7872497,146.8241858,151.0470135,166.0990442,125.3774491,135.7566714,156.1270706,153.9419575,152.1499935,150.4374378,139.9673025,140.3053501,
