Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018/10/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203351955.3,200000000,206145251.4,262569832.4,291620111.7,267882681.6,296480446.9,305893854.7,296804469.3,341871508.4,399944134.1,441223463.7,488664804.5,531826815.6,528251396.6,372162011.2,364569832.4,378189944.1,,,,,,
Afghanistan,AFG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965544645,1025522428,1370816289,1664800141,1966932929,2619349185,2720977636,2719206957,3353841977,4048927678,4311689587,4135188891,4354895759,4233278897,4225555643,
Angola,AGO,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,3342245989,3342245989,3342245989,3342245989,3342245989,3342245989,4544479089,3060772464,2707766729,2718888882,3339044728,5104486962,4646981369,3588659887,4474243885,6584533557,5798058745,,,,,,,,,,,,,,,,
Albania,ALB,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,846666662.5,851014005.2,960800000,987737475,984337475,1046137475,1013000000,486388909.7,165448307.1,281249228.7,431500499.3,545462372.8,477002412.5,335003990.5,315270012.6,429125613.3,538220792.6,667541691.5,774590732,1175508366,1582349865,1803119651,2058348541,2336429049,3241080043,2940434738,2974282403,3156252663,2823511475,2946380543,2845244223,2478212463,2511109211,2757495759
Andorra,AND,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202155887.2,217780760.6,258535667.2,369401805.9,462056121.2,515097624.7,570242127.7,621092252.9,620521458.9,526576826.9,451562913.9,426911315,348875754.9,336444503.5,331975587.1,275058223.4,283263274.3,
Arab World,ARB,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,52472804324,67306551536,76151542647,78986309909,1.17129E+11,1.74439E+11,1.72178E+11,1.4034E+11,1.17157E+11,1.14429E+11,1.06942E+11,90229495350,99498476413,96797222620,1.04819E+11,2.03119E+11,1.96075E+11,2.14163E+11,2.04511E+11,2.02388E+11,2.21572E+11,2.55643E+11,2.67191E+11,2.29659E+11,2.62183E+11,3.43057E+11,3.30982E+11,3.40563E+11,3.92399E+11,4.79889E+11,6.22789E+11,7.46386E+11,8.48417E+11,1.11638E+12,8.60874E+11,1.06431E+12,1.37071E+12,1.48613E+12,1.48045E+12,1.45425E+12,1.03772E+12,9.46456E+11,1.0088E+12
United Arab Emirates,ARE,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,10892636256,13797778958,16908257116,16181545774,22281101764,31680422938,33725960229,29443203487,26283029147,26259874694,24870607464,17703078180,19895668755,19231272133,22837646445,29864342141,24115227458,29993189867,28635794062,27434758921,29943067284,34112775810,35815309180,30287542546,35484547311,50621375085,51321443159,52212933969,61080190606,76393192648,1.00502E+11,1.28612E+11,1.41442E+11,1.83032E+11,1.31959E+11,1.52282E+11,2.03566E+11,2.15253E+11,2.14637E+11,2.12768E+11,1.57254E+11,1.4799E+11,1.6679E+11
Argentina,ARG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,13722940987,14202380230,11493637302,12434857435,14811143097,13353421858,15299799238,15831874375,22779001001,31577221374,26293432187,26042050144,27144799970,26774837040,30490501123,31723447657,31736843040,34652778710,43209876321,31406000793,34726667544,41467777149,42030000334,48572726893,32454050323,50917782541,62081175459,70201396124,64722199800,68877000000,67865250000,72371500000,79596500000,79855250000,74264250000,73867250000,67828500000,29862283499,41650884160,47449347397,56891104940,67914347258,78827167842,94990190458,84190456294,1.07003E+11,1.33668E+11,1.33378E+11,1.32519E+11,1.27777E+11,1.37703E+11,1.2311E+11,1.38591E+11
Armenia,ARM,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078402031,963270413.2,460103683.9,310448622.3,471063913.6,452275894.8,491686781.9,500799028.4,528477692.4,543670642.6,677086923.2,696719273.6,836544519.1,1071455673,1347481488,2028935939,2609186752,3637344111,4501707033,2768681357,3043459772,3057410868,2955048237,2970437646,2933785792,2713125863,2697399020,2917754400
American Samoa,ASM,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
