DATE,JPNLFTOTADSMEI
1955-01-01,41945.830000000000000000000000000000
1956-01-01,42683.330000000000000000000000000000
1957-01-01,43625.830000000000000000000000000000
1958-01-01,43874.170000000000000000000000000000
1959-01-01,44333.330000000000000000000000000000
1960-01-01,45103.330000000000000000000000000000
1961-01-01,45623.330000000000000000000000000000
1962-01-01,46140
1963-01-01,46524.170000000000000000000000000000
1964-01-01,47095
1965-01-01,47869.170000000000000000000000000000
1966-01-01,48908.330000000000000000000000000000
1967-01-01,49827.500000000000000000000000000000
1968-01-01,50610
1969-01-01,50978.330000000000000000000000000000
1970-01-01,51535.830000000000000000000000000000
1971-01-01,51860.830000000000000000000000000000
1972-01-01,52180.830000000000000000000000000000
1973-01-01,53258.330000000000000000000000000000
1974-01-01,53102.500000000000000000000000000000
1975-01-01,53226.670000000000000000000000000000
1976-01-01,53783.330000000000000000000000000000
1977-01-01,54516.670000000000000000000000000000
1978-01-01,55316.670000000000000000000000000000
1979-01-01,55961.670000000000000000000000000000
1980-01-01,56499.170000000000000000000000000000
1981-01-01,57074.170000000000000000000000000000
1982-01-01,57741.670000000000000000000000000000
1983-01-01,58885.830000000000000000000000000000
1984-01-01,59270.830000000000000000000000000000
1985-01-01,59634.170000000000000000000000000000
1986-01-01,60201.670000000000000000000000000000
1987-01-01,60835.830000000000000000000000000000
1988-01-01,61660
1989-01-01,62697.500000000000000000000000000000
1990-01-01,63835.830000000000000000000000000000
1991-01-01,65053.330000000000000000000000000000
1992-01-01,65784.170000000000000000000000000000
1993-01-01,66153.330000000000000000000000000000
1994-01-01,66449.170000000000000000000000000000
1995-01-01,66664.170000000000000000000000000000
1996-01-01,67107.500000000000000000000000000000
1997-01-01,67869.170000000000000000000000000000
1998-01-01,67929.170000000000000000000000000000
1999-01-01,67794.170000000000000000000000000000
2000-01-01,67662.500000000000000000000000000000
2001-01-01,67518.340000000000000000000000000000
2002-01-01,66890
2003-01-01,66663.330000000000000000000000000000
2004-01-01,66420.830000000000000000000000000000
2005-01-01,66502.500000000000000000000000000000
2006-01-01,66570
2007-01-01,66688.330000000000000000000000000000
2008-01-01,66499.170000000000000000000000000000
2009-01-01,66172.500000000000000000000000000000
2010-01-01,65902.500000000000000000000000000000
