Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018/10/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18994413.41,34078212.29,34636871.51,37988826.82,46368715.08,62027932.96,73480446.93,74418994.41,74698324.02,77608938.55,83491620.11,86212290.5,91195530.73,100793296.1,101905027.9,102234636.9,101201117.3,108256983.2,,,,,,
Afghanistan,AFG,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763297640.3,764207132.4,917509079.2,1030605840,1142445062,1729260581,1803407169,1632965082,1985593941,2453400232,2531965363,2323154387,2353913201,2185124898,2201621439,
Angola,AGO,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,659725946.5,694117635.3,539839586.5,657520064.7,570354295.9,513168452.3,1514826363,218626604.6,294322470.5,200938586.1,201958350.5,259342533.5,334875882.4,407249039,198301063.2,263860200.8,346102756.8,,,,,,,,,,,,,,,,
Albania,ALB,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283050200.5,176628877.3,168925643,207438605.4,231883782.2,242131287.8,251495196.1,420973581.8,608814165.9,728372449.1,839047180.8,814875172.4,643779269.5,626007024.8,650272059.6,729866382.9,568487612.8,646455422.5,704512669.8,645808546,672850843.7,775100149.7
Andorra,AND,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52165100.42,50657718.12,59090909.09,87042889.39,107983610.6,112510881.7,122155313,137366548,142317269.7,126493470.4,124370860.9,124812343.6,106719773.9,105735528.4,106448188.9,91238771.21,92190265.49,
Arab World,ARB,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,7962726940,9556438912,11328893878,13131260696,15323344069,19981063295,24550602082,28664740398,29086541548,30948536528,35046114620,35769659954,37685299572,43301763785,44431295599,44086034423,45887355455,43684057983,46724400747,47977231827,48438992321,53547841139,59553053614,64277328259,66481639336,70735652892,76472853657,82486422192,84922076595,92981424893,1.01805E+11,1.1373E+11,1.2905E+11,1.46237E+11,1.74678E+11,1.77019E+11,2.01423E+11,2.2458E+11,2.46976E+11,2.56638E+11,2.70381E+11,2.65016E+11,2.62951E+11,2.47428E+11
United Arab Emirates,ARE,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,134046903.8,215780020.7,682499423.6,816026038.4,954739628.4,1625397853,3163443203,3695723236,3753745573,3823208935,3624897848,2809043857,3192590575,3207028058,3386270771,3799509670,3826750204,4113320621,4363116317,3906837374,4452465268,4883138110,6224734405,6531518039,7226412526,9465486726,13754663036,14345813479,15247923758,17018107556,19159972771,21449693669,23278420694,27131654187,23314635807,23091354663,27066575902,28778761062,29430905378,31352212389,31689584752,32078420694,33607079646
Argentina,ARG,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,11673529108,11740952533,9174848544,9569142703,11453999979,9963158196,11906599839,12628249874,18040443689,24655222754,20039486086,20015850633,20778999455,19822294945,22635232911,22685371287,22631579614,26439043921,31889838393,23497000594,26208333995,30417777317,30550476433,35337499724,23718638577,37867881956,46265967383,50011204825,43181479379,45873500000,44502000000,47723250000,53382000000,53326250000,48089750000,46877500000,43242000000,19884637029,28690221634,31181294719,36449209846,41576107686,49016520323,59795791836,51890313731,67123175368,84034582760,83081051123,82864793306,77752039861,84344878154,75466320093,82566284728
Armenia,ARM,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680505773.8,730175066.6,386913762.2,263283578.6,383126542.4,356302909.2,374123274.3,368238878,376646174,390450784.5,321849363.5,332127878.1,359259091.3,429738583.5,485154372.5,663771893,692578413.1,862678544.2,1031175340,751786553.4,896823721,1071866940,1000845272,1076844300,1122222602,971558318.6,1084633088,1180476984
American Samoa,ASM,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
